MetricKey,Metric,Source_Category
11118,Funding In US Dollars: Zencity Technologies Ltd. (Private Investment) [ID:36769c5],Economy
11119,Funding In US Dollars: Zencity Technologies Ltd. (Private Investment) [ID:6408bf9],Economy
11120,Funding In US Dollars: Zencity Technologies Ltd. (Private Investment) [ID:98256a1],Economy
11121,Funding In US Dollars: Zenhomes GmbH (Private Investment) [ID:2dd8ec4],Economy
11122,Funding In US Dollars: Zenhomes GmbH (Private Investment) [ID:388b8ad],Economy
11123,Funding In US Dollars: Zenloop (Private Investment) [ID:8b5176e],Economy
11124,Funding In US Dollars: Zenloop (Private Investment) [ID:dec77a9],Economy
11125,"Funding In US Dollars: Zenus, Inc (Private Investment) [ID:39f0a4a]",Economy
11126,"Funding In US Dollars: Zenus, Inc (Private Investment) [ID:c3d69be]",Economy
11127,Funding In US Dollars: Zero Energy Solutions Ltd (Private Investment) [ID:8731831],Economy
11128,Funding In US Dollars: Zero Zero Robotics Inc. (Private Investment) [ID:58e79c5],Economy
11129,"Funding In US Dollars: ZeroBrush, Inc. (Private Investment) [ID:8c43901]",Economy
11130,"Funding In US Dollars: ZeroEyes, Inc. (Private Investment) [ID:05b89a5]",Economy
11131,"Funding In US Dollars: ZeroEyes, Inc. (Private Investment) [ID:a80b2f6]",Economy
11132,Funding In US Dollars: Zerocracy (Private Investment) [ID:3b62065],Economy
11133,Funding In US Dollars: Zerogrado S.R.L. (Private Investment) [ID:4aaf8bf],Economy
11134,Funding In US Dollars: Zerokey Inc. (Private Investment) [ID:6f15256],Economy
11135,Funding In US Dollars: Zerokey Inc. (Private Investment) [ID:7e36f3d],Economy
11136,"Funding In US Dollars: Zest AI, Inc. (Private Investment) [ID:e10ae0b]",Economy
11137,"Funding In US Dollars: Zest, the Reality Media App (Private Investment) [ID:385c9f7]",Economy
11138,Funding In US Dollars: Zesty Ltd. (Private Investment) [ID:512b6ea],Economy
11139,Funding In US Dollars: Zesty.ai (Private Investment) [ID:21a3dde],Economy
11140,Funding In US Dollars: Zeta Alpha (Private Investment) [ID:ebbf656],Economy
11141,Funding In US Dollars: Zhagmen.com (Private Investment) [ID:fcb766f],Economy
11142,"Funding In US Dollars: Zhejiang Chuanglin Technology Co., Ltd. (Private Investment) [ID:d95064f]",Economy
11143,"Funding In US Dollars: Zhejiang CoTEK Robotics Co., Ltd. (Private Investment) [ID:920e86c]",Economy
11144,"Funding In US Dollars: Zhejiang Congtai Network Technology Co., Ltd. (Private Investment) [ID:45bac66]",Economy
11145,"Funding In US Dollars: Zhejiang Fullink Tech Co., Ltd. (Private Investment) [ID:8696c5a]",Economy
11146,"Funding In US Dollars: Zhejiang Lanzhuo Industrial Internet Information Technology Co., Ltd. (Private Investment) [ID:a7461b0]",Economy
11147,"Funding In US Dollars: Zhejiang Mairui robot Co., Ltd. (Private Investment) [ID:570fa63]",Economy
11148,"Funding In US Dollars: Zhejiang Mingdu Zhikong Technology Co., Ltd (Private Investment) [ID:8b9453a]",Economy
11149,"Funding In US Dollars: Zhejiang Mingdu Zhikong Technology Co., Ltd. (Private Investment) [ID:483459b]",Economy
11150,"Funding In US Dollars: Zhejiang One Core Intelligent Technology Co., Ltd. (Private Investment) [ID:6b20acc]",Economy
11151,"Funding In US Dollars: Zhejiang Ruifeng Intelligent IOT Technology Co., Ltd. (Private Investment) [ID:f131967]",Economy
11152,"Funding In US Dollars: Zhejiang Whale Network Technology Co., Ltd. (Private Investment) [ID:c4651e6]",Economy
11153,"Funding In US Dollars: Zhejiang Xinzailing Technology Co., Ltd. (Private Investment) [ID:3fe84e6]",Economy
11154,Funding In US Dollars: Zhen Robotics (Private Investment) [ID:8d6050a],Economy
11155,Funding In US Dollars: Zhen Robotics (Private Investment) [ID:8e8ef54],Economy
11156,"Funding In US Dollars: Zhidao Network Technology (Tianjin) Co., Ltd. (Private Investment) [ID:dc0e568]",Economy
11157,Funding In US Dollars: Zhifubao (Private Investment) [ID:eb061ea],Economy
11158,"Funding In US Dollars: Zhijiu (Xiamen) Robot Technology Co., Ltd. (Private Investment) [ID:43dcfa8]",Economy
11159,Funding In US Dollars: Zhisheng (Private Investment) [ID:101d0f7],Economy
11160,"Funding In US Dollars: Zhiyu Zhilian Technology (Fujian) Co., Ltd. (Private Investment) [ID:2e98e5a]",Economy
11161,Funding In US Dollars: Zhizhong Interactive (Private Investment) [ID:d0b5cc7],Economy
11162,Funding In US Dollars: Zhizu Chuxing (Private Investment) [ID:84b5d6e],Economy
11163,"Funding In US Dollars: Zhongchi Blockchain Co., Ltd. (Private Investment) [ID:8919bc0]",Economy
11164,"Funding In US Dollars: Zhongshan Bin'ge Network Technology Co., Ltd. (Private Investment) [ID:e3c167f]",Economy
11165,"Funding In US Dollars: Zhongshan Bin'ge Network Technology Co., Ltd. (Private Investment) [ID:f4fcd04]",Economy
11166,"Funding In US Dollars: Zhongyi Yixin (Hangzhou) Technology Co., Ltd. (Private Investment) [ID:c25f500]",Economy
11167,"Funding In US Dollars: Zhuiyi Shenzhen Chaoyi Technology Co., Ltd. (Private Investment) [ID:55ff4a4]",Economy
11168,"Funding In US Dollars: Zhuiyi Shenzhen Chaoyi Technology Co., Ltd. (Private Investment) [ID:df03f07]",Economy
11169,Funding In US Dollars: Zhuiyi Technology (Private Investment) [ID:b460d21],Economy
11170,"Funding In US Dollars: Ziel, Inc. PBC (Private Investment) [ID:c127f28]",Economy
11171,Funding In US Dollars: Zigna ApS (Private Investment) [ID:6ee3329],Economy
11172,Funding In US Dollars: Zikto Inc. (Private Investment) [ID:fe2ffdc],Economy
11173,Funding In US Dollars: Zile Technology (Private Investment) [ID:9d3a9ac],Economy
11174,Funding In US Dollars: Zilliz (Private Investment) [ID:11fc893],Economy
11175,Funding In US Dollars: Zilliz (Private Investment) [ID:52218fc],Economy
11176,"Funding In US Dollars: ZineOne, Inc. (Private Investment) [ID:1d3670e]",Economy
11177,"Funding In US Dollars: ZineOne, Inc. (Private Investment) [ID:725515c]",Economy
11178,"Funding In US Dollars: ZineOne, Inc. (Private Investment) [ID:c527a5a]",Economy
11179,"Funding In US Dollars: ZingFront Cloud Technology (Beijing) Co., Ltd. (Private Investment) [ID:2097d2e]",Economy
11180,Funding In US Dollars: Zinobe S.A.S (Private Investment) [ID:c3c1e12],Economy
11181,"Funding In US Dollars: Zippia, Inc. (Private Investment) [ID:0bc3245]",Economy
11182,"Funding In US Dollars: Zippia, Inc. (Private Investment) [ID:4ec0765]",Economy
11183,"Funding In US Dollars: Zippia, Inc. (Private Investment) [ID:5d4716b]",Economy
11184,"Funding In US Dollars: Zippia, Inc. (Private Investment) [ID:80d3c1b]",Economy
11185,"Funding In US Dollars: Zippia, Inc. (Private Investment) [ID:fb91ef3]",Economy
11186,Funding In US Dollars: Zippin (Private Investment) [ID:3ea78a8],Economy
11187,Funding In US Dollars: Zippin (Private Investment) [ID:68babc6],Economy
11188,Funding In US Dollars: Zippin (Private Investment) [ID:7fc83cc],Economy
11189,Funding In US Dollars: Zippin (Private Investment) [ID:e1df40e],Economy
11190,Funding In US Dollars: Zippy Inc. (Private Investment) [ID:079ca23],Economy
11191,Funding In US Dollars: Zira Technologies. Inc (Private Investment) [ID:3de709b],Economy
11192,Funding In US Dollars: Zira Technologies. Inc (Private Investment) [ID:7b555b9],Economy
11193,Funding In US Dollars: Zirra.com Ltd. (Private Investment) [ID:816815a],Economy
11194,Funding In US Dollars: Ziva Dynamics Inc. (Private Investment) [ID:3677c71],Economy
11195,Funding In US Dollars: Ziva Dynamics Inc. (Private Investment) [ID:bcb4f01],Economy
11196,"Funding In US Dollars: Zoba, Inc. (Private Investment) [ID:bd06900]",Economy
11197,Funding In US Dollars: Zobi Limited (Private Investment) [ID:e7bd611],Economy
11198,Funding In US Dollars: Zombie Soup (Private Investment) [ID:f48d6c9],Economy
11199,Funding In US Dollars: Zone7 (Private Investment) [ID:47b79ec],Economy
11200,Funding In US Dollars: Zoom Abroad (Private Investment) [ID:11c503d],Economy
11201,Funding In US Dollars: Zoom Abroad (Private Investment) [ID:16de364],Economy
11202,Funding In US Dollars: Zoom Abroad (Private Investment) [ID:67c27ce],Economy
11203,Funding In US Dollars: Zoom.ai Inc. (Private Investment) [ID:0b02f32],Economy
11204,Funding In US Dollars: Zoom.ai Inc. (Private Investment) [ID:5a8bfe7],Economy
11205,Funding In US Dollars: Zoom.ai Inc. (Private Investment) [ID:c524630],Economy
11206,Funding In US Dollars: ZoomAgri (Private Investment) [ID:ea3a786],Economy
11207,Funding In US Dollars: Zoomd Technologies Ltd. (Private Investment) [ID:3b2e6c4],Economy
11208,"Funding In US Dollars: Zoomi, Inc. (Private Investment) [ID:095aea9]",Economy
11209,"Funding In US Dollars: Zoomi, Inc. (Private Investment) [ID:aff89c5]",Economy
11210,"Funding In US Dollars: Zoomi, Inc. (Private Investment) [ID:c60c307]",Economy
11211,Funding In US Dollars: Zoominbot (Private Investment) [ID:21d09ff],Economy
11212,Funding In US Dollars: Zoox Inc. (Merger/Acquisition) [ID:8927bee],Economy
11213,Funding In US Dollars: Zoox Inc. (Private Investment) [ID:284ac4e],Economy
11214,Funding In US Dollars: Zoox Inc. (Private Investment) [ID:333a56a],Economy
11215,Funding In US Dollars: Zoox Inc. (Private Investment) [ID:cf23184],Economy
11216,Funding In US Dollars: Zoox Inc. (Private Investment) [ID:f3be28a],Economy
11217,Funding In US Dollars: Zorroa Corporation (Private Investment) [ID:c06b89d],Economy
11218,Funding In US Dollars: Zotalabs (Private Investment) [ID:e27628a],Economy
11219,Funding In US Dollars: Zowie Inc. (Private Investment) [ID:03d6975],Economy
11220,Funding In US Dollars: Ztractor (Private Investment) [ID:3aeb73f],Economy
11221,Funding In US Dollars: Ztractor (Private Investment) [ID:b55a4da],Economy
11222,"Funding In US Dollars: Zugata, Inc. (Private Investment) [ID:8079bf9]",Economy
11223,"Funding In US Dollars: Zume Pizza, Inc. (Private Investment) [ID:071dc61]",Economy
11224,"Funding In US Dollars: Zume Pizza, Inc. (Private Investment) [ID:6f3d384]",Economy
11225,"Funding In US Dollars: Zume Pizza, Inc. (Private Investment) [ID:e9243e6]",Economy
11226,"Funding In US Dollars: Zuodashi Technology (Shanghai) Co., Ltd. (Private Investment) [ID:ab16559]",Economy
11227,Funding In US Dollars: Zup I.T. Servicos em Tecnologia e Inovacao Ltda. (Merger/Acquisition) [ID:b4287c4],Economy
11228,Funding In US Dollars: Zup I.T. Servicos em Tecnologia e Inovacao Ltda. (Private Investment) [ID:891ac6e],Economy
11229,"Funding In US Dollars: Zurfers, Inc. (Private Investment) [ID:4fb2e74]",Economy
11230,Funding In US Dollars: Zuvoo Limited (Private Investment) [ID:99350000],Economy
11231,Funding In US Dollars: Zvesta Online Private Limited (Private Investment) [ID:3aac9ea],Economy
11232,Funding In US Dollars: Zwoop Limited (Private Investment) [ID:170300000000000010247444854989826933304005221067158108787081124531488212195857137664],Economy
11233,"Funding In US Dollars: Zya, Inc. (Private Investment) [ID:2901b8c]",Economy
11234,"Funding In US Dollars: Zycada Networks, Inc. (Private Investment) [ID:69965eb]",Economy
11235,"Funding In US Dollars: Zycada Networks, Inc. (Private Investment) [ID:72a292e]",Economy
11236,"Funding In US Dollars: Zycada Networks, Inc. (Private Investment) [ID:ea1b796]",Economy
11237,Funding In US Dollars: Zyl (Private Investment) [ID:5bcfc85],Economy
11238,Funding In US Dollars: Zylotech (Private Investment) [ID:e131c2c],Economy
11239,"Funding In US Dollars: Zymergen, Inc. (Private Investment) [ID:38bae2c]",Economy
11240,"Funding In US Dollars: Zymergen, Inc. (Private Investment) [ID:ebcaaf8]",Economy
11241,Funding In US Dollars: Zymvol Biomodeling (Private Investment) [ID:8bf490a],Economy
11242,Funding In US Dollars: Zymvol Biomodeling (Private Investment) [ID:e0312d1],Economy
11243,Funding In US Dollars: Zyper Inc (Private Investment) [ID:2310025],Economy
11244,"Funding In US Dollars: aapi, Inc. (Private Investment) [ID:588412f]",Economy
11245,"Funding In US Dollars: aapi, Inc. (Private Investment) [ID:a6ae98c]",Economy
11246,Funding In US Dollars: abracar GmbH (Private Investment) [ID:1c779f6],Economy
11247,Funding In US Dollars: accessiBe Ltd. (Private Investment) [ID:6442745],Economy
11248,Funding In US Dollars: adjust GmbH (Private Investment) [ID:f794227],Economy
11249,Funding In US Dollars: aetherAI (Private Investment) [ID:a2c66fd],Economy
11250,Funding In US Dollars: aetherAI (Private Investment) [ID:dfc25fc],Economy
11251,Funding In US Dollars: aiLegal (Private Investment) [ID:a15e09a],Economy
11252,"Funding In US Dollars: aiQ Co., Ltd. (Private Investment) [ID:3625feb]",Economy
11253,Funding In US Dollars: aifora GmbH (Private Investment) [ID:9dffde0],Economy
11254,Funding In US Dollars: aiforce solutions Inc. (Private Investment) [ID:377f9d9],Economy
11255,Funding In US Dollars: aircos.Inc. (Private Investment) [ID:a6d43e3],Economy
11256,Funding In US Dollars: allerguard ltd. (Private Investment) [ID:fff5f3b],Economy
11257,Funding In US Dollars: alltuu.com (Private Investment) [ID:7e994e6],Economy
11258,"Funding In US Dollars: alwaysAI, Inc (Private Investment) [ID:077e66e]",Economy
11259,Funding In US Dollars: apheris AI GmbH (Private Investment) [ID:52c69a2],Economy
11260,Funding In US Dollars: arabot company LTD (Private Investment) [ID:0825de6],Economy
11261,Funding In US Dollars: arago GmbH (Private Investment) [ID:78f6f8c],Economy
11262,Funding In US Dollars: askblu.ai (by Happy Blue Fish) (Private Investment) [ID:160c5e9],Economy
11263,Funding In US Dollars: askblu.ai (by Happy Blue Fish) (Private Investment) [ID:77e80c7],Economy
11264,Funding In US Dollars: askblu.ai (by Happy Blue Fish) (Private Investment) [ID:a36adbf],Economy
11265,Funding In US Dollars: atama plus Inc. (Private Investment) [ID:8a4d630],Economy
11266,Funding In US Dollars: atama plus Inc. (Private Investment) [ID:9eee277],Economy
11267,Funding In US Dollars: avaamo (Private Investment) [ID:a745016],Economy
11268,"Funding In US Dollars: awoo Bros. Internet, Inc. (Private Investment) [ID:756f866]",Economy
11269,Funding In US Dollars: black.ai (Private Investment) [ID:d0dd604],Economy
11270,Funding In US Dollars: blueqat (Private Investment) [ID:dad7278],Economy
11271,Funding In US Dollars: boodleAI (Private Investment) [ID:08d2d9c],Economy
11272,Funding In US Dollars: boodleAI (Private Investment) [ID:3f3b10a],Economy
11273,"Funding In US Dollars: boulder,inc. (Private Investment) [ID:7ec83f3]",Economy
11274,Funding In US Dollars: briq Construction Blockchain Inc. (Private Investment) [ID:271c639],Economy
11275,Funding In US Dollars: briq Construction Blockchain Inc. (Private Investment) [ID:e927dc4],Economy
11276,Funding In US Dollars: bundleIQ (Private Investment) [ID:f9f9573],Economy
11277,"Funding In US Dollars: cClearly, Inc. (Private Investment) [ID:c71ae9a]",Economy
11278,Funding In US Dollars: caresocius (Private Investment) [ID:73a6230],Economy
11279,Funding In US Dollars: ceceSAT (Private Investment) [ID:3de6445],Economy
11280,Funding In US Dollars: claimsforce GmbH (Private Investment) [ID:de30957],Economy
11281,Funding In US Dollars: cogvis (Private Investment) [ID:453ee01],Economy
11282,Funding In US Dollars: cogvis (Private Investment) [ID:d130f1d],Economy
11283,Funding In US Dollars: cogvis Software und Consulting GmbH (Private Investment) [ID:3a17e63],Economy
11284,Funding In US Dollars: colabel GmbH (Private Investment) [ID:dfec0fe],Economy
11285,"Funding In US Dollars: conDati, Inc. (Private Investment) [ID:193526c]",Economy
11286,"Funding In US Dollars: conDati, Inc. (Private Investment) [ID:ea7dbb5]",Economy
11287,"Funding In US Dollars: conDati, Inc. (Private Investment) [ID:f923e51]",Economy
11288,Funding In US Dollars: connectome.design inc. (Private Investment) [ID:a0f60be],Economy
11289,Funding In US Dollars: cred.ai (Private Investment) [ID:593a6e7],Economy
11290,Funding In US Dollars: crystal (Private Investment) [ID:271702a],Economy
11291,Funding In US Dollars: crystal (Private Investment) [ID:db3831a],Economy
11292,Funding In US Dollars: crystal (Private Investment) [ID:f61195e],Economy
11293,Funding In US Dollars: crystal (Private Investment) [ID:f9c687c],Economy
11294,Funding In US Dollars: dClinic PTE. LTD. (Private Investment) [ID:e772fdc],Economy
11295,"Funding In US Dollars: dearduck, LLC (Private Investment) [ID:1a110e3]",Economy
11296,"Funding In US Dollars: dearduck, LLC (Private Investment) [ID:5c77dc8]",Economy
11297,Funding In US Dollars: deepsense.io (Private Investment) [ID:9943f26],Economy
11298,Funding In US Dollars: digital publishing AG (Private Investment) [ID:bb93e6b],Economy
11299,Funding In US Dollars: dipp (Private Investment) [ID:79c8f94],Economy
11300,"Funding In US Dollars: dotData, Inc. (Private Investment) [ID:7f7b0fe]",Economy
11301,Funding In US Dollars: dq Technologies AG (Private Investment) [ID:65e02a9],Economy
11302,Funding In US Dollars: dreyev (Private Investment) [ID:002ffd8],Economy
11303,Funding In US Dollars: dreyev (Private Investment) [ID:8fc35b8],Economy
11304,Funding In US Dollars: dreyev (Private Investment) [ID:e75e89d],Economy
11305,Funding In US Dollars: dreyev (Private Investment) [ID:fe8e5a5],Economy
11306,Funding In US Dollars: dristi.ai (Private Investment) [ID:1a91686],Economy
11307,Funding In US Dollars: dwins GmbH (Private Investment) [ID:9c1d6a5],Economy
11308,Funding In US Dollars: dwins GmbH (Private Investment) [ID:eafd157],Economy
11309,Funding In US Dollars: dwins GmbH (Private Investment) [ID:f5749fc],Economy
11310,Funding In US Dollars: e-bot7 GmbH (Private Investment) [ID:349eb80],Economy
11311,Funding In US Dollars: e-bot7 GmbH (Private Investment) [ID:905c7c4],Economy
11312,Funding In US Dollars: e-cobot - SAS (Private Investment) [ID:c6d2790],Economy
11313,Funding In US Dollars: eBrain (Private Investment) [ID:850815d],Economy
11314,Funding In US Dollars: eBrain (Private Investment) [ID:b7e9cf4],Economy
11315,"Funding In US Dollars: eBrevia, Inc. (Merger/Acquisition) [ID:8a816ee]",Economy
11316,"Funding In US Dollars: eBrevia, Inc. (Private Investment) [ID:9f808c9]",Economy
11317,"Funding In US Dollars: eBrevia, Inc. (Private Investment) [ID:a2bad96]",Economy
11318,"Funding In US Dollars: eBrevia, Inc. (Private Investment) [ID:c245044]",Economy
11319,"Funding In US Dollars: eBrevia, Inc. (Private Investment) [ID:d47ac27]",Economy
11320,Funding In US Dollars: eCreditpal (Private Investment) [ID:a8336ad],Economy
11321,Funding In US Dollars: eCreditpal (Private Investment) [ID:c67bd8d],Economy
11322,Funding In US Dollars: eEducation Albert AB (Private Investment) [ID:0a49205],Economy
11323,Funding In US Dollars: eEducation Albert AB (Private Investment) [ID:58d363e],Economy
11324,Funding In US Dollars: eEducation Albert AB (Private Investment) [ID:a2c96a2],Economy
11325,Funding In US Dollars: ePallet (Private Investment) [ID:99678a7],Economy
11326,Funding In US Dollars: eRevalue Limited (Private Investment) [ID:c66d6b6],Economy
11327,Funding In US Dollars: eSmart Systems AS (Private Investment) [ID:1af2cd2],Economy
11328,"Funding In US Dollars: eXo Imaging, Inc. (Private Investment) [ID:2cea5e2]",Economy
11329,"Funding In US Dollars: eXo Imaging, Inc. (Private Investment) [ID:74e655d]",Economy
11330,"Funding In US Dollars: eXo Imaging, Inc. (Private Investment) [ID:b045192]",Economy
11331,"Funding In US Dollars: eXo Imaging, Inc. (Private Investment) [ID:fb6e706]",Economy
11332,Funding In US Dollars: eYARD S.L. (Private Investment) [ID:386559],Economy
11333,Funding In US Dollars: echonovum (Private Investment) [ID:4f1184e],Economy
11334,Funding In US Dollars: echonovum (Private Investment) [ID:53afafa],Economy
11335,Funding In US Dollars: ecoRobotix Ltd (Private Investment) [ID:062f09a],Economy
11336,Funding In US Dollars: ecoRobotix Ltd (Private Investment) [ID:e384499],Economy
11337,Funding In US Dollars: edrone sp. z o.o. (Private Investment) [ID:54719d2],Economy
11338,Funding In US Dollars: effect.ai (Private Investment) [ID:6b4e1c2],Economy
11339,"Funding In US Dollars: eightfold, inc. (Private Investment) [ID:8ac98f6]",Economy
11340,"Funding In US Dollars: eightfold, inc. (Private Investment) [ID:9b1a408]",Economy
11341,"Funding In US Dollars: eightfold, inc. (Private Investment) [ID:b727509]",Economy
11342,"Funding In US Dollars: eightfold, inc. (Private Investment) [ID:faf2514]",Economy
11343,Funding In US Dollars: elyps (Private Investment) [ID:4ab29a5],Economy
11344,Funding In US Dollars: emotion3D (Private Investment) [ID:3da1407],Economy
11345,Funding In US Dollars: emotion3D (Private Investment) [ID:47f7e73],Economy
11346,Funding In US Dollars: emotion3D (Private Investment) [ID:6380f8f],Economy
11347,Funding In US Dollars: emotion3D (Private Investment) [ID:8419979],Economy
11348,Funding In US Dollars: emotion3D (Private Investment) [ID:a06a9ea],Economy
11349,Funding In US Dollars: emotion3D (Private Investment) [ID:b8502e4],Economy
11350,Funding In US Dollars: enaible Inc. (Private Investment) [ID:cba3552],Economy
11351,Funding In US Dollars: entigenlogic LLC (Private Investment) [ID:a9201f9],Economy
11352,Funding In US Dollars: entigenlogic LLC (Private Investment) [ID:fae059d],Economy
11353,Funding In US Dollars: envelio GmbH (Private Investment) [ID:1bb015f],Economy
11354,Funding In US Dollars: envelio GmbH (Private Investment) [ID:a35a7cd],Economy
11355,"Funding In US Dollars: estie, inc. (Private Investment) [ID:ffb79f5]",Economy
11356,Funding In US Dollars: faire.ai (Private Investment) [ID:8685bbd],Economy
11357,Funding In US Dollars: firstAI (Private Investment) [ID:398a87b],Economy
11358,Funding In US Dollars: fleetx.io (Private Investment) [ID:9fb5e6a],Economy
11359,Funding In US Dollars: fleetx.io (Private Investment) [ID:d5c8c93],Economy
11360,Funding In US Dollars: fleetx.io (Private Investment) [ID:eb425ec],Economy
11361,Funding In US Dollars: freeD Group Limited (Private Investment) [ID:490a2fa],Economy
11362,Funding In US Dollars: freeD Group Limited (Private Investment) [ID:e70a40c],Economy
11363,Funding In US Dollars: freeD Group Limited (Private Investment) [ID:ffd24cf],Economy
11364,Funding In US Dollars: funstory.ai (Private Investment) [ID:b50736e],Economy
11365,Funding In US Dollars: gNext Labs LLC (Private Investment) [ID:af115f8],Economy
11366,Funding In US Dollars: guuru ltd. (Private Investment) [ID:5a0375f],Economy
11367,Funding In US Dollars: guuru ltd. (Private Investment) [ID:db1d123],Economy
11368,Funding In US Dollars: halla (Private Investment) [ID:66ffc3f],Economy
11369,Funding In US Dollars: halla (Private Investment) [ID:73c8326],Economy
11370,Funding In US Dollars: hcit.ai (Private Investment) [ID:90dffbf],Economy
11371,Funding In US Dollars: hearX Group (Private Investment) [ID:000c8a8],Economy
11372,Funding In US Dollars: hearX Group (Private Investment) [ID:010ce8e],Economy
11373,Funding In US Dollars: hearX Group (Private Investment) [ID:06dccef],Economy
11374,Funding In US Dollars: hearX Group (Private Investment) [ID:3463597],Economy
11375,Funding In US Dollars: hearX Group (Private Investment) [ID:9f79e8d],Economy
11376,Funding In US Dollars: hearX Group (Private Investment) [ID:ccd5d1f],Economy
11377,Funding In US Dollars: hearX Group (Private Investment) [ID:ef23319],Economy
11378,Funding In US Dollars: hearX Group (Private Investment) [ID:fbce4e9],Economy
11379,"Funding In US Dollars: i-plug Co., Ltd. (Private Investment) [ID:078f38c]",Economy
11380,"Funding In US Dollars: i-plug Co., Ltd. (Private Investment) [ID:758eae0]",Economy
11381,Funding In US Dollars: i2 invest ltd (Private Investment) [ID:599a55e],Economy
11382,Funding In US Dollars: i2x GmbH (Private Investment) [ID:881221],Economy
11383,Funding In US Dollars: iATROS GmbH (Private Investment) [ID:ff42454],Economy
11384,Funding In US Dollars: iCarbonx (Private Investment) [ID:70fabde],Economy
11385,Funding In US Dollars: iCarbonx (Private Investment) [ID:81d1698],Economy
11386,Funding In US Dollars: iCetana Limited (Private Investment) [ID:6421c39],Economy
11387,Funding In US Dollars: iCetana Limited (Public Offering) [ID:a107a18],Economy
11388,Funding In US Dollars: iConTek CORP. (Private Investment) [ID:45cd251],Economy
11389,Funding In US Dollars: iGenius Srl (Private Investment) [ID:3cb78d8],Economy
11390,Funding In US Dollars: iGenius Srl (Private Investment) [ID:a86c353],Economy
11391,Funding In US Dollars: iKala Interactive Media Inc. (Private Investment) [ID:179a172],Economy
11392,Funding In US Dollars: iKala Interactive Media Inc. (Private Investment) [ID:8c44b52],Economy
11393,Funding In US Dollars: iLoF - Intelligent Lab on Fiber (Private Investment) [ID:c2515ca],Economy
11394,Funding In US Dollars: iMerit Technology Services Pvt. Ltd (Private Investment) [ID:fec9a9e],Economy
11395,Funding In US Dollars: iMotion Automotive Technology (Suzhou) Co. Ltd. (Private Investment) [ID:9c92166],Economy
11396,"Funding In US Dollars: iQiyi Smart Technology Co., Ltd. (Private Investment) [ID:116798d]",Economy
11397,Funding In US Dollars: iRecommend Software LLC (Private Investment) [ID:21f6410],Economy
11398,Funding In US Dollars: iRecruit Australia PTY LTD (Private Investment) [ID:ce07b39],Economy
11399,Funding In US Dollars: iSIZE Limited (Private Investment) [ID:726d920],Economy
11400,"Funding In US Dollars: iSchemaView, Inc. (Private Investment) [ID:cfa5765]",Economy
11401,Funding In US Dollars: iSchoolConnect (Private Investment) [ID:295b65d],Economy
11402,Funding In US Dollars: iSchoolConnect (Private Investment) [ID:daf0acd],Economy
11403,Funding In US Dollars: iUGO Technology (Private Investment) [ID:47c67ce],Economy
11404,Funding In US Dollars: iVideoSmart Pte Ltd (Private Investment) [ID:fe8596f],Economy
11405,"Funding In US Dollars: iXs Co., Ltd. (Private Investment) [ID:1d4543d]",Economy
11406,Funding In US Dollars: ifesca GmbH (Private Investment) [ID:1877898],Economy
11407,Funding In US Dollars: iguazio Systems LTD (Private Investment) [ID:5d53c9c],Economy
11408,Funding In US Dollars: iguazio Systems LTD (Private Investment) [ID:b860c8c],Economy
11409,Funding In US Dollars: imMail (Private Investment) [ID:d44ca2c],Economy
11410,Funding In US Dollars: imVision Technologies Ltd. (Private Investment) [ID:3418594],Economy
11411,Funding In US Dollars: impress.ai (Private Investment) [ID:6ca4931],Economy
11412,Funding In US Dollars: impress.ai (Private Investment) [ID:95acf64],Economy
11413,Funding In US Dollars: inFeedo Private Limited (Private Investment) [ID:0a39777],Economy
11414,Funding In US Dollars: inFeedo Private Limited (Private Investment) [ID:9182eca],Economy
11415,Funding In US Dollars: inFeedo Private Limited (Private Investment) [ID:93d8db3],Economy
11416,"Funding In US Dollars: indus.ai, Inc. (Private Investment) [ID:5d8089a]",Economy
11417,"Funding In US Dollars: indus.ai, Inc. (Private Investment) [ID:7985a92]",Economy
11418,Funding In US Dollars: infibond Ltd. (Private Investment) [ID:a5f1616],Economy
11419,Funding In US Dollars: inspectAR Augmented Interfaces Inc. (Private Investment) [ID:e298502],Economy
11420,Funding In US Dollars: inspir.ai (Private Investment) [ID:890664b],Economy
11421,Funding In US Dollars: intelliHR Limited (Private Investment) [ID:b311b5d],Economy
11422,Funding In US Dollars: intelliHR Limited (Public Offering) [ID:2ef5221],Economy
11423,Funding In US Dollars: involve.ai (Private Investment) [ID:d0236fc],Economy
11424,Funding In US Dollars: iziwork (Private Investment) [ID:517010c],Economy
11425,Funding In US Dollars: iziwork (Private Investment) [ID:55e42c2],Economy
11426,Funding In US Dollars: jobpal Ltd. (Private Investment) [ID:0dde542],Economy
11427,Funding In US Dollars: jobpal Ltd. (Private Investment) [ID:4d78c96],Economy
11428,"Funding In US Dollars: justInCase, Inc. (Private Investment) [ID:23c8d63]",Economy
11429,"Funding In US Dollars: justInCase, Inc. (Private Investment) [ID:662e348]",Economy
11430,"Funding In US Dollars: justInCase, Inc. (Private Investment) [ID:a918ff5]",Economy
11431,"Funding In US Dollars: kWantera, Inc. (Private Investment) [ID:009dccc]",Economy
11432,"Funding In US Dollars: kWantera, Inc. (Private Investment) [ID:6cce0ed]",Economy
11433,Funding In US Dollars: limbiq.com (Private Investment) [ID:f701325],Economy
